Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
19750,663735,616082,200892,249501,257825,69396,123168,869317844,384978,223315,32379,234913017,253147,170681991,113379,795681864,205524,2623188094,39737,4387651747,1277411052
20000,733025,546212,204171,337821,247353,68497,122287,771263414,407497,236640,32608,252140933,258802,213003901,112564,700055528,224262,3057306078,39346,2732156823,702304009
20250,729751,558005,203580,245620,267093,66686,125737,1016874038,506531,259402,33262,247492986,254095,205092938,115998,695992987,202544,3080966736,47648,2236554264,1133067374
20500,922853,616562,210678,248835,249443,72209,119636,1274367992,567390,238343,34402,1050657593,262040,188859263,125343,834241097,266577,3612378473,50446,2265054253,1073846647
20750,914917,840534,214241,254784,261110,70429,117713,956056519,533551,251840,32792,342876964,261228,171096723,117579,829576549,217983,3304934746,51303,2660893442,713796604
21000,900241,769945,207821,250204,259491,68895,118484,1115847327,420308,264795,33364,206847789,268774,173507668,122747,1097700854,210636,2428335664,47925,2391859790,777063454
21250,726129,528629,215260,256429,4552774,97428,128702,896198360,593405,233761,41668,179349192,265410,179702899,117312,1279170899,208702,2628858044,46611,2052204513,1034491184
21500,753199,558313,210545,251485,292626,75047,130369,1072833573,605198,263142,42609,262406814,258417,188192513,111952,1245055100,231094,3356568983,41533,4396850330,1077246243
21750,754091,543806,203991,257508,272492,66302,131073,1153699118,605903,269738,43032,234297933,268779,292826833,113857,1086961186,215981,3480941941,68543,2596153445,882595823
22000,715715,570749,211080,248028,258360,70083,130368,1487417095,419099,264915,44181,239464538,258143,258067865,112685,807463847,215436,3376470041,52229,2149517533,826153274
22250,729305,523875,210987,250457,265495,70843,127427,1381828963,457588,272631,45262,250430880,251959,228228151,120115,782594358,240665,2537418817,52232,1867548062,830890572
22500,736733,500855,214310,260812,275106,69349,129068,1512348529,440777,265395,46404,247471148,285672,187534315,130071,815713883,241599,2342987022,45221,1783842914,781282452
22750,701610,520199,204791,251452,264956,69252,139067,1283296165,507160,344432,44723,695839084,260682,238224636,130123,835622355,244041,2625234328,39958,1985724371,1158398263
23000,699598,550301,211166,269730,269273,72994,133737,1468846068,509839,353872,44892,464681478,267648,366664020,126713,871074205,241879,2753922132,41501,2341560059,866127370
23250,758941,618006,226562,258450,266685,72101,134171,1352960998,476231,367257,46845,285648674,256783,218898353,127093,775623665,244926,3217241419,51379,1775927262,772922953
23500,690500,677159,211623,252370,275987,71301,136152,2213736140,444553,346976,43687,322337178,286688,279213584,130255,803731847,251726,3761571022,55462,2496492108,825158526
23750,689763,688656,215433,266692,266381,65713,133380,2573863849,434161,281395,43565,321343194,260401,364654543,137659,906704123,247493,3055075947,53409,2757572083,1045934622
24000,673128,673884,233094,256483,264749,66576,144898,2288329250,437775,275574,59645,252170567,291871,425428041,131012,892585856,232481,3852116048,51943,2537900082,1149647482
24250,673755,691677,213205,265343,283111,76387,150804,1836606764,447603,286268,55964,314573429,282718,424084105,128292,846049840,256092,2910035645,56075,2547673344,1233927166
24500,676496,726071,208989,255821,278863,75041,152124,1077821951,515424,333274,48710,357923409,301141,402623587,130143,970530354,235455,2893620656,60916,2251645757,841213363
24750,739852,697084,216942,256228,286851,65089,156596,2104123189,429501,328038,43916,299450618,285566,380191934,128119,997314467,242997,3181096206,44014,2343389910,1563159904
25000,913444,781681,210556,247547,248046,63627,138015,1500389696,490397,442869,43552,316862405,282410,372734367,129682,1035867455,8151891,3363070034,38708,2698733806,1014133768

